arm_id,canonical_id,stage,origin,activated_at,status,relation,contract_hash,contract_exact_group_size,economic_fingerprint,economic_family_size,dispatch_path,entry_family,exit_family,entry_fingerprint,exit_fingerprint,execution_fingerprint,revision_equivalence_group,frozen_buys,frozen_positions,frozen_tokens,delta_decisions,delta_opportunities,delta_buys,delta_buy_opportunities,contaminations,entry_detail,exit_detail,execution_detail
canonical-0006b989b189e0ac,canonical-0006b989b189e0ac,1,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,exact_duplicate,359c7093b68ea197,6,1d25a5fc208a7196,6,main_snapshot_exact_family,broad_launch,fast_escape,b32d3b36814d8cc7,904fc369870dac70,9c77660c388d6fc6,,104,104,103,1211,1211,87,87,0,"{""dispatch"":{""entry_family"":""broad_launch"",""entry_gate"":""v6_asof_family"",""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""broad_launch"",""entry_filter"":{""min_m5_trades"":3,""min_m5_volume_usd"":200.0},""entry_gate"":""v6_asof_family""}}","{""exact_risk_alerts"":""shared_preemptive"",""exit_family"":""fast_escape"",""exit_mode"":""executable_equity_dynamic_backoff"",""hard_stop_return"":-0.2,""max_hold_minutes"":30.0,""take_profit"":[{""fraction_of_remaining"":1.0,""return"":0.8}],""trailing_activate_return"":0.25,""trailing_drawdown"":0.12}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-0186f1e75b238e63,canonical-0186f1e75b238e63,2,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,exact_duplicate,0d4950a1f1d06ca5,6,98aadae68976e129,6,main_snapshot_exact_family,flow_burst,peak_guard,f6ccfc52d5200c2d,7a6c26e429481f73,9c77660c388d6fc6,main_mature_flow_acceleration_v2,0,0,0,1,1,1,1,0,"{""dispatch"":{""entry_family"":""flow_burst"",""entry_gate"":""v6_asof_family"",""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""flow_burst"",""entry_filter"":{""max_age_seconds_exclusive"":21600.0,""min_age_seconds"":3600.0,""min_m5_trades"":8,""min_m5_volume_usd"":500.0},""entry_gate"":""v6_asof_family""}}","{""exact_risk_alerts"":""shared_preemptive"",""exit_family"":""peak_guard"",""exit_mode"":""executable_equity_dynamic_backoff"",""hard_stop_return"":-0.35,""max_hold_minutes"":240.0,""take_profit"":[{""fraction_of_remaining"":0.2,""return"":0.8},{""fraction_of_remaining"":0.25,""return"":1.8},{""fraction_of_remaining"":0.35,""return"":3.5},{""fraction_of_remaining"":1.0,""return"":7.0}],""trailing_activate_return"":0.4,""trailing_drawdown"":0.15}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-0356dc612c90a689,canonical-0356dc612c90a689,3,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,exact_duplicate,359c7093b68ea197,6,1d25a5fc208a7196,6,main_snapshot_exact_family,broad_launch,fast_escape,b32d3b36814d8cc7,904fc369870dac70,9c77660c388d6fc6,,104,104,103,1211,1211,87,87,0,"{""dispatch"":{""entry_family"":""broad_launch"",""entry_gate"":""v6_asof_family"",""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""broad_launch"",""entry_filter"":{""min_m5_trades"":3,""min_m5_volume_usd"":200.0},""entry_gate"":""v6_asof_family""}}","{""exact_risk_alerts"":""shared_preemptive"",""exit_family"":""fast_escape"",""exit_mode"":""executable_equity_dynamic_backoff"",""hard_stop_return"":-0.2,""max_hold_minutes"":30.0,""take_profit"":[{""fraction_of_remaining"":1.0,""return"":0.8}],""trailing_activate_return"":0.25,""trailing_drawdown"":0.12}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-035ad2cf0cb0f6a5,canonical-035ad2cf0cb0f6a5,4,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,exact_duplicate,68f1cd94234f5955,6,ff2ead6fc0c42cd3,6,main_snapshot_exact_family,broad_launch,peak_guard,bc45788e868e4283,082154299726d028,9c77660c388d6fc6,,70,70,70,1475,1475,97,97,0,"{""dispatch"":{""entry_family"":""broad_launch"",""entry_gate"":""v6_asof_family"",""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""broad_launch"",""entry_gate"":""v6_asof_family""}}","{""exact_risk_alerts"":""shared_preemptive"",""exit_family"":""peak_guard"",""exit_mode"":""executable_equity_dynamic_backoff"",""hard_stop_return"":-0.35,""max_hold_minutes"":240.0,""revision_exit_kind"":""l0_loss_deterioration"",""revision_exit_policy"":{""maximum_frame_age_seconds"":30.0,""minimum_bad_frames"":2,""minimum_frame_span_seconds"":5.0,""minimum_hold_seconds"":60.0,""version"":""l0-loss-deterioration/v1""},""take_profit"":[{""fraction_of_remaining"":0.2,""return"":0.8},{""fraction_of_remaining"":0.25,""return"":1.8},{""fraction_of_remaining"":0.35,""return"":3.5},{""fraction_of_remaining"":1.0,""return"":7.0}],""trailing_activate_return"":0.4,""trailing_drawdown"":0.15}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-05005fdaa932d3d0,canonical-05005fdaa932d3d0,5,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,same_entry_different_exit,7a1e0db231d4e7d3,1,9561f6f4752cc168,1,main_snapshot_exact_family,shadow_momentum,activity,d46c0bb068581528,9c9e296a942a36f6,9c77660c388d6fc6,,73,73,72,518,518,64,64,0,"{""dispatch"":{""entry_family"":""shadow_momentum"",""entry_gate"":null,""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""shadow_momentum""}}","{""capital_exit_kind"":""l0_loss_deterioration"",""capital_exit_policy"":{""maximum_frame_age_seconds"":30.0,""minimum_bad_frames"":2,""minimum_frame_span_seconds"":5.0,""minimum_hold_seconds"":60.0,""version"":""l0-loss-deterioration/v1""},""exit_family"":""activity"",""max_hold_minutes"":240.0,""zero_activity_grace_minutes"":5.0}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-058b868fbd1d8065,canonical-058b868fbd1d8065,6,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,exact_duplicate,0d4950a1f1d06ca5,6,98aadae68976e129,6,main_snapshot_exact_family,flow_burst,peak_guard,f6ccfc52d5200c2d,7a6c26e429481f73,9c77660c388d6fc6,main_mature_flow_acceleration_v2,0,0,0,1,1,1,1,0,"{""dispatch"":{""entry_family"":""flow_burst"",""entry_gate"":""v6_asof_family"",""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""flow_burst"",""entry_filter"":{""max_age_seconds_exclusive"":21600.0,""min_age_seconds"":3600.0,""min_m5_trades"":8,""min_m5_volume_usd"":500.0},""entry_gate"":""v6_asof_family""}}","{""exact_risk_alerts"":""shared_preemptive"",""exit_family"":""peak_guard"",""exit_mode"":""executable_equity_dynamic_backoff"",""hard_stop_return"":-0.35,""max_hold_minutes"":240.0,""take_profit"":[{""fraction_of_remaining"":0.2,""return"":0.8},{""fraction_of_remaining"":0.25,""return"":1.8},{""fraction_of_remaining"":0.35,""return"":3.5},{""fraction_of_remaining"":1.0,""return"":7.0}],""trailing_activate_return"":0.4,""trailing_drawdown"":0.15}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-0ad93cd8a7bec9ec,canonical-0ad93cd8a7bec9ec,7,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,same_entry_different_exit,0ad93cd8a7bec9ec,1,4660e006205db4d5,6,main_snapshot_exact_family,flow_burst,balanced_harvest,09e87a237979d7b9,c577ef160c73552d,9c77660c388d6fc6,,3,3,3,9,9,6,6,0,"{""dispatch"":{""entry_family"":""flow_burst"",""entry_gate"":""v6_asof_family"",""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""flow_burst"",""entry_gate"":""v6_asof_family""}}","{""exact_risk_alerts"":""shared_preemptive"",""exit_family"":""balanced_harvest"",""exit_mode"":""executable_equity_dynamic_backoff"",""hard_stop_return"":-0.35,""max_hold_minutes"":240.0,""take_profit"":[{""fraction_of_remaining"":0.2,""return"":0.8},{""fraction_of_remaining"":0.25,""return"":1.8},{""fraction_of_remaining"":0.35,""return"":3.5},{""fraction_of_remaining"":1.0,""return"":7.0}],""trailing_activate_return"":0.6,""trailing_drawdown"":0.28}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-0c198e6aa30fa049,canonical-0c198e6aa30fa049,8,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,same_entry_different_exit,0c198e6aa30fa049,1,4003ab6f56f1557d,6,main_snapshot_exact_family,flow_burst,peak_guard,09e87a237979d7b9,7a6c26e429481f73,9c77660c388d6fc6,,3,3,3,9,9,6,6,0,"{""dispatch"":{""entry_family"":""flow_burst"",""entry_gate"":""v6_asof_family"",""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""flow_burst"",""entry_gate"":""v6_asof_family""}}","{""exact_risk_alerts"":""shared_preemptive"",""exit_family"":""peak_guard"",""exit_mode"":""executable_equity_dynamic_backoff"",""hard_stop_return"":-0.35,""max_hold_minutes"":240.0,""take_profit"":[{""fraction_of_remaining"":0.2,""return"":0.8},{""fraction_of_remaining"":0.25,""return"":1.8},{""fraction_of_remaining"":0.35,""return"":3.5},{""fraction_of_remaining"":1.0,""return"":7.0}],""trailing_activate_return"":0.4,""trailing_drawdown"":0.15}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-0cd0f3c790d85ca5,canonical-0cd0f3c790d85ca5,9,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,same_entry_different_exit,0d4b3387e20025d9,1,72232dbbe0f4789d,1,main_snapshot_exact_family,shadow_momentum,fixed,d46c0bb068581528,06c26d9d32f607e1,9c77660c388d6fc6,,70,70,69,518,518,40,40,0,"{""dispatch"":{""entry_family"":""shadow_momentum"",""entry_gate"":null,""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""shadow_momentum""}}","{""exit_family"":""fixed"",""max_hold_minutes"":60.0,""revision_exit_kind"":""l0_loss_deterioration"",""revision_exit_policy"":{""maximum_frame_age_seconds"":30.0,""minimum_bad_frames"":2,""minimum_frame_span_seconds"":5.0,""minimum_hold_seconds"":60.0,""version"":""l0-loss-deterioration/v1""}}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
canonical-0d7caccf76779d74,canonical-0d7caccf76779d74,10,frozen_map,2026-09-06T15:29:28.508111Z,active_with_buy,same_entry_different_exit,d88d9aa25c79d7b6,1,4019eadfd79e875d,1,main_snapshot_exact_family,shadow_momentum,trailing,d46c0bb068581528,a502e6f9dea4725e,9c77660c388d6fc6,,93,93,92,518,518,64,64,0,"{""dispatch"":{""entry_family"":""shadow_momentum"",""entry_gate"":null,""mode"":""main_snapshot_dispatch"",""path"":""main_snapshot_exact_family""},""fields"":{""entry_family"":""shadow_momentum""}}","{""exit_family"":""trailing"",""max_hold_minutes"":240.0,""revision_exit_kind"":""l0_loss_deterioration"",""revision_exit_policy"":{""maximum_frame_age_seconds"":30.0,""minimum_bad_frames"":2,""minimum_frame_span_seconds"":5.0,""minimum_hold_seconds"":60.0,""version"":""l0-loss-deterioration/v1""},""trailing_activate_return"":0.6,""trailing_drawdown"":0.28}","{""_execution"":{""additional_fee_usd_each_fill"":0.0,""buy_slippage_bps"":400,""min_pool_liquidity_usd"":1000.0,""sell_slippage_bps"":400},""execution_profile"":""dexscreener-market-paper/v2-before-after""}"
